candidate_id,candidate_name,latitude,longitude,district,final_selected,final_selection_rank,priority_score,ahp_score,mclp_selected,pmedian_selected,selected_by_both,minimum_distance_to_selected_m,selection_stage
STOP_013,명륜동_1번_임시정류장,37.341627,127.956291,명륜동,True,1.0,0.9574108143690904,0.7241436066691019,True,True,True,537.0713012634886,SELECTED_GREEDY
STOP_018,명륜동_6번_임시정류장,37.341765,127.948558,명륜동,True,2.0,0.7991741608028664,0.6035189712527069,True,True,True,415.12321954877183,SELECTED_GREEDY
STOP_017,명륜동_5번_임시정류장,37.328753,127.947869,명륜동,True,3.0,0.7958448229344225,0.5989194636825023,True,True,True,1077.4133347677766,SELECTED_GREEDY
STOP_014,명륜동_2번_임시정류장,37.351799,127.954826,명륜동,True,4.0,0.6564682216575639,0.6691235929379218,True,True,True,864.2180414219148,SELECTED_GREEDY
STOP_030,무실동_6번_임시정류장,37.311487,127.944349,무실동,True,5.0,0.6455713285252208,0.427635894524934,True,True,True,1579.5266582456243,SELECTED_GREEDY
STOP_002,단구동_2번_임시정류장,37.330421,127.969382,단구동,True,6.0,0.5724256158860132,0.3438803231095902,True,True,True,646.2746350944863,SELECTED_GREEDY
STOP_022,단계동_4번_임시정류장,37.337242,127.953744,단계동,True,7.0,0.5550167107502809,0.3239462388721336,True,True,True,537.0713012634886,SELECTED_GREEDY
STOP_015,명륜동_3번_임시정류장,37.345468,127.949155,명륜동,True,8.0,0.5495333952011522,0.6219353530026778,False,True,False,415.12321954877183,SELECTED_GREEDY
STOP_021,단계동_3번_임시정류장,37.353926,127.932777,단계동,True,9.0,0.5353956640764918,0.3014791397540172,True,True,True,714.5194725536916,SELECTED_GREEDY
STOP_044,지정면_6번_임시정류장,37.396289,127.939335,지정면,True,10.0,0.5185749421991965,0.2822185553449144,True,True,True,679.4729342385887,SELECTED_GREEDY
STOP_039,지정면_1번_임시정류장,37.39957,127.932846,지정면,True,11.0,0.5111026644761903,0.2736624162646717,True,True,True,679.4729342385887,SELECTED_GREEDY
STOP_041,지정면_3번_임시정류장,37.39025,127.936215,지정면,True,12.0,0.4867959504106565,0.2458299890131952,True,True,True,725.873391822835,SELECTED_GREEDY
STOP_001,단구동_1번_임시정류장,37.330009,127.962091,단구동,True,13.0,0.4866285671393904,0.2348084520618434,True,True,True,646.2746350944863,SELECTED_GREEDY
STOP_025,무실동_1번_임시정류장,37.320093,127.930139,무실동,True,14.0,0.4009089555830109,0.3689421094346924,True,False,False,1579.5266582456243,SELECTED_GREEDY
STOP_037,반곡관설동_6번_임시정류장,37.33023,127.991815,반곡관설동,True,15.0,0.34629209954851,0.2153882863753108,True,True,True,1983.5708815543742,SELECTED_GREEDY
STOP_042,지정면_4번_임시정류장,37.405202,127.929423,지정면,True,16.0,0.33472280147348943,0.2201680810642683,True,True,True,695.4213175322658,SELECTED_GREEDY
STOP_035,반곡관설동_4번_임시정류장,37.348458,127.996115,반곡관설동,True,17.0,0.3238268563320911,0.3844492292177665,False,True,False,1195.2877800046147,SELECTED_GREEDY
STOP_036,반곡관설동_5번_임시정류장,37.350718,127.982895,반곡관설동,True,18.0,0.30440414917756636,0.2855426342489592,False,True,False,1195.2877800046147,SELECTED_GREEDY
STOP_043,지정면_5번_임시정류장,37.39985,127.914597,지정면,True,19.0,0.29691812731467104,0.1712113485454523,False,True,False,1438.4843218244057,SELECTED_GREEDY
STOP_019,단계동_1번_임시정류장,37.349819,127.938994,단계동,True,20.0,0.228819574653418,0.2522699406972161,True,False,False,714.5194725536916,SELECTED_GREEDY
STOP_024,단계동_6번_임시정류장,37.343617,127.936056,단계동,True,21.0,0.18106630034504145,0.2392692474749643,True,False,False,736.9133547847341,SELECTED_GREEDY
STOP_005,단구동_5번_임시정류장,37.321128,127.961899,단구동,True,22.0,0.1560423071579803,0.1843942281999736,False,True,False,987.6680650920347,SELECTED_GREEDY
