candidate_id,candidate_name,latitude,longitude,district,mclp_selected,covered_demand_count,covered_demand_weight,exclusive_covered_demand_weight,selection_rank,potential_covered_demand_count
STOP_001,단구동_1번_임시정류장,37.330009,127.962091,단구동,True,3,0.7168242972934507,0.7168242972934507,6.0,3
STOP_002,단구동_2번_임시정류장,37.330421,127.969382,단구동,True,1,0.3438803231095902,0.3438803231095902,12.0,1
STOP_003,단구동_3번_임시정류장,37.332498,127.960738,단구동,False,0,0.0,0.0,,3
STOP_004,단구동_4번_임시정류장,37.326797,127.946691,단구동,False,0,0.0,0.0,,2
STOP_005,단구동_5번_임시정류장,37.321128,127.961899,단구동,False,0,0.0,0.0,,1
STOP_006,단구동_6번_임시정류장,37.32966,127.960793,단구동,False,0,0.0,0.0,,3
STOP_007,단구동_7번_임시정류장,37.32315,127.954338,단구동,False,0,0.0,0.0,,1
STOP_008,개운동_1번_임시정류장,37.340915,127.954218,개운동,False,0,0.0,0.0,,2
STOP_009,개운동_2번_임시정류장,37.345533,127.964512,개운동,False,0,0.0,0.0,,1
STOP_010,개운동_3번_임시정류장,37.359003,127.960336,개운동,False,0,0.0,0.0,,1
STOP_011,개운동_4번_임시정류장,37.343679,127.95978,개운동,False,0,0.0,0.0,,2
STOP_012,개운동_5번_임시정류장,37.346422,127.951757,개운동,True,3,1.212740500791928,1.212740500791928,2.0,3
STOP_013,명륜동_1번_임시정류장,37.341627,127.956291,명륜동,True,3,1.3856755315251643,1.3856755315251643,1.0,3
STOP_014,명륜동_2번_임시정류장,37.351799,127.954826,명륜동,True,1,0.6691235929379218,0.6691235929379218,7.0,1
STOP_015,명륜동_3번_임시정류장,37.345468,127.949155,명륜동,False,0,0.0,0.0,,3
STOP_016,명륜동_4번_임시정류장,37.347679,127.947621,명륜동,False,0,0.0,0.0,,3
STOP_017,명륜동_5번_임시정류장,37.328753,127.947869,명륜동,True,2,0.9601269928832883,0.9601269928832883,4.0,2
STOP_018,명륜동_6번_임시정류장,37.341765,127.948558,명륜동,True,1,0.6035189712527069,0.6035189712527069,8.0,1
STOP_019,단계동_1번_임시정류장,37.349819,127.938994,단계동,True,2,0.5044591655170072,0.5044591655170072,10.0,2
STOP_020,단계동_2번_임시정류장,37.34717,127.931016,단계동,False,0,0.0,0.0,,1
STOP_021,단계동_3번_임시정류장,37.353926,127.932777,단계동,True,1,0.3014791397540172,0.3014791397540172,14.0,1
STOP_022,단계동_4번_임시정류장,37.337242,127.953744,단계동,True,1,0.3239462388721336,0.3239462388721336,13.0,1
STOP_023,단계동_5번_임시정류장,37.346881,127.938174,단계동,False,0,0.0,0.0,,2
STOP_024,단계동_6번_임시정류장,37.343617,127.936056,단계동,True,1,0.2392692474749643,0.2392692474749643,18.0,1
STOP_025,무실동_1번_임시정류장,37.320093,127.930139,무실동,True,5,1.1074814744755572,1.1074814744755572,3.0,5
STOP_026,무실동_2번_임시정류장,37.317373,127.932901,무실동,False,0,0.0,0.0,,4
STOP_027,무실동_3번_임시정류장,37.315301,127.927621,무실동,False,0,0.0,0.0,,2
STOP_028,무실동_4번_임시정류장,37.31854,127.930576,무실동,False,0,0.0,0.0,,5
STOP_029,무실동_5번_임시정류장,37.3205,127.929734,무실동,False,0,0.0,0.0,,3
STOP_030,무실동_6번_임시정류장,37.311487,127.944349,무실동,True,1,0.427635894524934,0.427635894524934,11.0,1
STOP_031,무실동_7번_임시정류장,37.316912,127.931444,무실동,False,0,0.0,0.0,,5
STOP_032,반곡관설동_1번_임시정류장,37.353236,127.994764,반곡관설동,False,0,0.0,0.0,,2
STOP_033,반곡관설동_2번_임시정류장,37.351647,127.996765,반곡관설동,True,3,0.734483652113107,0.734483652113107,5.0,3
STOP_034,반곡관설동_3번_임시정류장,37.35145,127.986811,반곡관설동,True,2,0.521664897613737,0.521664897613737,9.0,2
STOP_035,반곡관설동_4번_임시정류장,37.348458,127.996115,반곡관설동,False,0,0.0,0.0,,2
STOP_036,반곡관설동_5번_임시정류장,37.350718,127.982895,반곡관설동,False,0,0.0,0.0,,2
STOP_037,반곡관설동_6번_임시정류장,37.33023,127.991815,반곡관설동,True,1,0.2153882863753108,0.2153882863753108,20.0,1
STOP_038,반곡관설동_7번_임시정류장,37.334406,127.988833,반곡관설동,True,1,0.1845679953382937,0.1845679953382937,22.0,1
STOP_039,지정면_1번_임시정류장,37.39957,127.932846,지정면,True,1,0.2736624162646717,0.2736624162646717,16.0,1
STOP_040,지정면_2번_임시정류장,37.401368,127.924519,지정면,True,1,0.1982114292636308,0.1982114292636308,21.0,1
STOP_041,지정면_3번_임시정류장,37.39025,127.936215,지정면,True,1,0.2458299890131952,0.2458299890131952,17.0,1
STOP_042,지정면_4번_임시정류장,37.405202,127.929423,지정면,True,1,0.2201680810642683,0.2201680810642683,19.0,1
STOP_043,지정면_5번_임시정류장,37.39985,127.914597,지정면,False,0,0.0,0.0,,1
STOP_044,지정면_6번_임시정류장,37.396289,127.939335,지정면,True,1,0.2822185553449144,0.2822185553449144,15.0,1
